dataset_name,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,random_seed,dataset
dataset_7_46,0.8360655737704918,0.5,0.0,0.0,0.6392156862745099,0.3494355500821018,0.0,500,5,1,,20.0,46,dataset_7
dataset_8_46,0.6868131868131868,0.5800546448087431,0.5517241379310345,0.26666666666666666,0.7418032786885246,0.5418499785561333,0.2056493574014164,500,10,5,,10.0,46,dataset_8
dataset_7_42,0.8360655737704918,0.5,0.0,0.0,0.6490196078431373,0.2789200680272109,0.0,100,10,10,,,42,dataset_7
dataset_8_42,0.6593406593406593,0.521448087431694,0.4375,0.11666666666666667,0.7256830601092896,0.541741171965355,0.07121312961443178,200,2,1,,20.0,42,dataset_8
dataset_7_45,0.8360655737704918,0.5,0.0,0.0,0.6352941176470588,0.2720902773161959,0.0,100,2,10,0.8,20.0,45,dataset_7
dataset_8_45,0.6703296703296703,0.5296448087431694,0.5,0.11666666666666667,0.7648907103825137,0.5592732994909876,0.10459610931477666,200,2,1,0.8,10.0,45,dataset_8
dataset_7_44,0.8360655737704918,0.5,0.0,0.0,0.5509803921568627,0.19919822408461224,0.0,200,2,5,,10.0,44,dataset_7
dataset_8_44,0.6703296703296703,0.5211748633879781,0.5,0.08333333333333333,0.7491803278688525,0.5457643204901623,0.08736589490951809,500,5,1,0.8,,44,dataset_8
dataset_7_43,0.8360655737704918,0.5,0.0,0.0,0.592156862745098,0.3853498554814453,0.0,100,10,5,,,43,dataset_7
dataset_8_43,0.6703296703296703,0.5592896174863388,0.5,0.23333333333333334,0.7310109289617486,0.5472725933331998,0.15449869255431756,500,2,5,0.8,,43,dataset_8
